id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,SELL,986.15,2025-11-04 14:30:00+05:30,76.93586334487642,7.587030163754989,75870.30163754988,2.5995678907698783,971.8523766007656,988.7495678907699,sl_hit,-0.022696079686738896,,,989.1,2025-11-06 13:00:00+05:30,
2,Moving Average Crossover,BUY,987.6,2025-11-06 13:45:00+05:30,68.19467391970272,6.891311757095029,67349.0599630984,2.8662177385407217,1003.364197561974,984.7337822614593,sl_hit,-0.026515780353343038,,,983.8,2025-11-06 15:00:00+05:30,
3,Moving Average Crossover,SELL,976.55,2025-11-07 10:00:00+05:30,52.088282160566834,5.346578682351231,50866.81194390154,3.6529902878771394,956.4585534166757,980.2029902878771,sl_hit,-0.024363601593838734,,,981.0,2025-11-07 11:15:00+05:30,
4,Moving Average Crossover,BUY,981.45,2025-11-07 14:45:00+05:30,70.75880104218338,7.48173107416504,69446.22528285088,2.623590691167765,995.8797488014228,978.8264093088322,sl_hit,-0.022107106948982932,,,978.55,2025-11-11 10:30:00+05:30,
5,Moving Average Crossover,BUY,987.55,2025-11-11 13:45:00+05:30,77.39349727940562,8.420264317239912,76429.94823827702,2.3456508318344813,1000.4510795750896,985.2043491681654,sl_hit,-0.029416142873249073,,,984.1,2025-11-13 09:30:00+05:30,
6,Moving Average Crossover,BUY,984.2,2025-11-14 14:15:00+05:30,82.18662417124513,9.181499143017648,80888.07550933945,2.1438764730451783,995.9913206017485,982.0561235269548,tp_hit,0.11474541704848268,,,996.5,2025-11-17 13:45:00+05:30,
7,Moving Average Crossover,SELL,994.95,2025-11-18 14:30:00+05:30,98.706407108832,10.0,98207.9397529324,1.6922696241591513,985.6425170671247,996.6422696241592,tp_hit,0.09698979848233671,,,985.3,2025-11-19 10:45:00+05:30,
8,Moving Average Crossover,BUY,995.75,2025-11-19 14:45:00+05:30,106.99848255974284,9.889600416091124,106543.73900886394,2.013731512104048,1006.8255233165722,993.7362684878959,tp_hit,0.11669877468146693,,,1007.5,2025-11-20 12:30:00+05:30,
9,Moving Average Crossover,SELL,999.45,2025-11-21 11:15:00+05:30,103.68433630701762,8.613685196608255,103627.30992204876,2.320609535146573,986.6866475566939,1001.7706095351466,sl_hit,-0.026286197258146765,,,1002.5,2025-11-21 12:15:00+05:30,
10,Moving Average Crossover,BUY,1006.8,2025-11-24 10:15:00+05:30,83.29208636976425,7.158637853525412,83858.47255707864,2.812825625769521,1022.2705409417323,1003.9871743742304,sl_hit,-0.06363707666771151,,,997.85,2025-11-24 15:00:00+05:30,
11,Moving Average Crossover,SELL,995.6,2025-11-25 09:15:00+05:30,47.80374968805941,4.33896440777586,47593.41318943195,4.589113467793305,970.3598759271368,1000.1891134677933,sl_hit,-0.020047445033918296,,,1000.2,2025-11-26 10:00:00+05:30,
12,Moving Average Crossover,BUY,1001.55,2025-11-26 11:15:00+05:30,68.03300577697881,6.339083622094469,68138.45693593312,3.1599204544617834,1018.9295624995398,998.3900795455381,open,0.0,,,,,
