Date,Open,High,Low,Close,Volume,fetch_timestamp
2026-01-13 11:30:00+00:00,185.415,185.416,185.331,185.358,3899,2026-01-20 17:29:43.936771+00:00
2026-01-13 12:00:00+00:00,185.359,185.389,185.306,185.368,3860,2026-01-20 17:29:43.936771+00:00
2026-01-13 12:30:00+00:00,185.367,185.376,185.169,185.186,5150,2026-01-20 17:29:43.936771+00:00
2026-01-13 13:00:00+00:00,185.182,185.186,185.086,185.096,6491,2026-01-20 17:29:43.936771+00:00
2026-01-13 13:30:00+00:00,185.089,185.388,184.989,185.384,10394,2026-01-20 17:29:43.936771+00:00
2026-01-13 14:00:00+00:00,185.385,185.451,185.302,185.342,7691,2026-01-20 17:29:43.936771+00:00
2026-01-13 14:30:00+00:00,185.343,185.419,185.3,185.344,8557,2026-01-20 17:29:43.936771+00:00
2026-01-13 15:00:00+00:00,185.345,185.386,185.185,185.195,8282,2026-01-20 17:29:43.936771+00:00
2026-01-13 15:30:00+00:00,185.194,185.282,185.118,185.172,7970,2026-01-20 17:29:43.936771+00:00
2026-01-13 16:00:00+00:00,185.174,185.273,185.154,185.261,8026,2026-01-20 17:29:43.936771+00:00
2026-01-13 16:30:00+00:00,185.262,185.321,185.231,185.242,5422,2026-01-20 17:29:43.936771+00:00
2026-01-13 17:00:00+00:00,185.247,185.288,185.212,185.263,4008,2026-01-20 17:29:43.936771+00:00
2026-01-13 17:30:00+00:00,185.264,185.277,185.151,185.198,4436,2026-01-20 17:29:43.936771+00:00
2026-01-13 18:00:00+00:00,185.2,185.309,185.155,185.306,3929,2026-01-20 17:29:43.936771+00:00
2026-01-13 18:30:00+00:00,185.307,185.349,185.282,185.333,2458,2026-01-20 17:29:43.936771+00:00
2026-01-13 19:00:00+00:00,185.332,185.349,185.285,185.341,3307,2026-01-20 17:29:43.936771+00:00
2026-01-13 19:30:00+00:00,185.342,185.374,185.328,185.349,2319,2026-01-20 17:29:43.936771+00:00
2026-01-13 20:00:00+00:00,185.35,185.357,185.314,185.321,1940,2026-01-20 17:29:43.936771+00:00
2026-01-13 20:30:00+00:00,185.322,185.374,185.289,185.295,2729,2026-01-20 17:29:43.936771+00:00
2026-01-13 21:00:00+00:00,185.303,185.331,185.275,185.318,1514,2026-01-20 17:29:43.936771+00:00
2026-01-13 21:30:00+00:00,185.323,185.338,185.289,185.318,979,2026-01-20 17:29:43.936771+00:00
2026-01-13 22:00:00+00:00,185.156,185.3,185.156,185.201,855,2026-01-20 17:29:43.936771+00:00
2026-01-13 22:30:00+00:00,185.202,185.285,185.186,185.259,2405,2026-01-20 17:29:43.936771+00:00
2026-01-13 23:00:00+00:00,185.247,185.346,185.22,185.306,1686,2026-01-20 17:29:43.936771+00:00
2026-01-13 23:30:00+00:00,185.305,185.375,185.303,185.335,1682,2026-01-20 17:29:43.936771+00:00
2026-01-14 00:00:00+00:00,185.336,185.392,185.191,185.232,4051,2026-01-20 17:29:43.936771+00:00
2026-01-14 00:30:00+00:00,185.228,185.36,185.224,185.341,5066,2026-01-20 17:29:43.936771+00:00
2026-01-14 01:00:00+00:00,185.343,185.545,185.342,185.499,4585,2026-01-20 17:29:43.936771+00:00
2026-01-14 01:30:00+00:00,185.501,185.564,185.388,185.432,3655,2026-01-20 17:29:43.936771+00:00
2026-01-14 02:00:00+00:00,185.433,185.482,185.337,185.358,3296,2026-01-20 17:29:43.936771+00:00
2026-01-14 02:30:00+00:00,185.355,185.448,185.323,185.368,3300,2026-01-20 17:29:43.936771+00:00
2026-01-14 03:00:00+00:00,185.366,185.39,185.262,185.375,2848,2026-01-20 17:29:43.936771+00:00
2026-01-14 03:30:00+00:00,185.374,185.402,185.282,185.369,2973,2026-01-20 17:29:43.936771+00:00
2026-01-14 04:00:00+00:00,185.374,185.424,185.337,185.403,2640,2026-01-20 17:29:43.936771+00:00
2026-01-14 04:30:00+00:00,185.402,185.421,185.358,185.373,2071,2026-01-20 17:29:43.936771+00:00
2026-01-14 05:00:00+00:00,185.375,185.455,185.339,185.452,2663,2026-01-20 17:29:43.936771+00:00
2026-01-14 05:30:00+00:00,185.453,185.501,185.438,185.49,3101,2026-01-20 17:29:43.936771+00:00
2026-01-14 06:00:00+00:00,185.492,185.543,185.412,185.541,3336,2026-01-20 17:29:43.936771+00:00
2026-01-14 06:30:00+00:00,185.543,185.567,185.357,185.383,4335,2026-01-20 17:29:43.936771+00:00
2026-01-14 07:00:00+00:00,185.389,185.442,185.359,185.386,4605,2026-01-20 17:29:43.936771+00:00
2026-01-14 07:30:00+00:00,185.385,185.415,185.299,185.373,4049,2026-01-20 17:29:43.936771+00:00
2026-01-14 08:00:00+00:00,185.366,185.388,185.186,185.191,6074,2026-01-20 17:29:43.936771+00:00
2026-01-14 08:30:00+00:00,185.192,185.234,184.979,185.108,8020,2026-01-20 17:29:43.936771+00:00
2026-01-14 09:00:00+00:00,185.104,185.133,184.823,184.981,6367,2026-01-20 17:29:43.936771+00:00
2026-01-14 09:30:00+00:00,184.983,185.077,184.955,184.98,5065,2026-01-20 17:29:43.936771+00:00
2026-01-14 10:00:00+00:00,184.98,185.015,184.851,184.948,4658,2026-01-20 17:29:43.936771+00:00
2026-01-14 10:30:00+00:00,184.947,184.978,184.819,184.945,4983,2026-01-20 17:29:43.936771+00:00
2026-01-14 11:00:00+00:00,184.944,184.973,184.88,184.918,4063,2026-01-20 17:29:43.936771+00:00
2026-01-14 11:30:00+00:00,184.919,184.949,184.692,184.847,3713,2026-01-20 17:29:43.936771+00:00
2026-01-14 12:00:00+00:00,184.849,184.849,184.309,184.738,6793,2026-01-20 17:29:43.936771+00:00
2026-01-14 12:30:00+00:00,184.737,184.871,184.663,184.87,5343,2026-01-20 17:29:43.936771+00:00
2026-01-14 13:00:00+00:00,184.871,184.876,184.738,184.738,5379,2026-01-20 17:29:43.936771+00:00
2026-01-14 13:30:00+00:00,184.701,184.849,184.678,184.759,6308,2026-01-20 17:29:43.936771+00:00
2026-01-14 14:00:00+00:00,184.756,184.836,184.406,184.43,7690,2026-01-20 17:29:43.936771+00:00
2026-01-14 14:30:00+00:00,184.425,184.538,184.386,184.402,8680,2026-01-20 17:29:43.936771+00:00
2026-01-14 15:00:00+00:00,184.405,184.611,184.404,184.423,7681,2026-01-20 17:29:43.936771+00:00
2026-01-14 15:30:00+00:00,184.424,184.481,184.311,184.365,6762,2026-01-20 17:29:43.936771+00:00
2026-01-14 16:00:00+00:00,184.366,184.487,184.345,184.437,5159,2026-01-20 17:29:43.936771+00:00
2026-01-14 16:30:00+00:00,184.436,184.476,184.284,184.294,5360,2026-01-20 17:29:43.936771+00:00
2026-01-14 17:00:00+00:00,184.296,184.417,184.283,184.409,3935,2026-01-20 17:29:43.936771+00:00
2026-01-14 17:30:00+00:00,184.41,184.413,184.363,184.365,3576,2026-01-20 17:29:43.936771+00:00
2026-01-14 18:00:00+00:00,184.365,184.46,184.365,184.442,2871,2026-01-20 17:29:43.936771+00:00
2026-01-14 18:30:00+00:00,184.443,184.462,184.295,184.413,3658,2026-01-20 17:29:43.936771+00:00
2026-01-14 19:00:00+00:00,184.416,184.435,184.349,184.406,3190,2026-01-20 17:29:43.936771+00:00
2026-01-14 19:30:00+00:00,184.407,184.454,184.384,184.431,2213,2026-01-20 17:29:43.936771+00:00
2026-01-14 20:00:00+00:00,184.432,184.61,184.423,184.588,4143,2026-01-20 17:29:43.936771+00:00
2026-01-14 20:30:00+00:00,184.589,184.644,184.564,184.644,3419,2026-01-20 17:29:43.936771+00:00
2026-01-14 21:00:00+00:00,184.643,184.675,184.548,184.585,1713,2026-01-20 17:29:43.936771+00:00
2026-01-14 21:30:00+00:00,184.584,184.598,184.527,184.54,1271,2026-01-20 17:29:43.936771+00:00
2026-01-14 22:00:00+00:00,184.518,184.519,184.414,184.456,692,2026-01-20 17:29:43.936771+00:00
2026-01-14 22:30:00+00:00,184.455,184.466,184.196,184.263,1739,2026-01-20 17:29:43.936771+00:00
2026-01-14 23:00:00+00:00,184.27,184.406,184.248,184.402,2046,2026-01-20 17:29:43.936771+00:00
2026-01-14 23:30:00+00:00,184.403,184.502,184.4,184.475,2082,2026-01-20 17:29:43.936771+00:00
2026-01-15 00:00:00+00:00,184.477,184.609,184.477,184.555,3228,2026-01-20 17:29:43.936771+00:00
2026-01-15 00:30:00+00:00,184.554,184.576,184.305,184.346,5137,2026-01-20 17:29:43.936771+00:00
2026-01-15 01:00:00+00:00,184.348,184.384,184.264,184.377,5078,2026-01-20 17:29:43.936771+00:00
2026-01-15 01:30:00+00:00,184.376,184.381,184.172,184.297,4892,2026-01-20 17:29:43.936771+00:00
2026-01-15 02:00:00+00:00,184.298,184.407,184.264,184.407,3429,2026-01-20 17:29:43.936771+00:00
2026-01-15 02:30:00+00:00,184.408,184.529,184.376,184.517,3161,2026-01-20 17:29:43.936771+00:00
2026-01-15 03:00:00+00:00,184.516,184.61,184.471,184.531,2907,2026-01-20 17:29:43.936771+00:00
2026-01-15 03:30:00+00:00,184.532,184.589,184.479,184.488,2851,2026-01-20 17:29:43.936771+00:00
2026-01-15 04:00:00+00:00,184.489,184.531,184.417,184.522,2399,2026-01-20 17:29:43.936771+00:00
2026-01-15 04:30:00+00:00,184.523,184.577,184.485,184.507,2076,2026-01-20 17:29:43.936771+00:00
2026-01-15 05:00:00+00:00,184.505,184.528,184.417,184.435,2960,2026-01-20 17:29:43.936771+00:00
2026-01-15 05:30:00+00:00,184.436,184.463,184.301,184.334,2874,2026-01-20 17:29:43.936771+00:00
2026-01-15 06:00:00+00:00,184.332,184.487,184.319,184.47,4287,2026-01-20 17:29:43.936771+00:00
2026-01-15 06:30:00+00:00,184.471,184.519,184.455,184.509,3232,2026-01-20 17:29:43.936771+00:00
2026-01-15 07:00:00+00:00,184.51,184.589,184.299,184.37,4911,2026-01-20 17:29:43.936771+00:00
2026-01-15 07:30:00+00:00,184.369,184.466,184.25,184.406,4303,2026-01-20 17:29:43.936771+00:00
2026-01-15 08:00:00+00:00,184.404,184.607,184.371,184.49,5218,2026-01-20 17:29:43.936771+00:00
2026-01-15 08:30:00+00:00,184.489,184.629,184.452,184.563,4508,2026-01-20 17:29:43.936771+00:00
2026-01-15 09:00:00+00:00,184.564,184.588,184.192,184.326,5579,2026-01-20 17:29:43.936771+00:00
2026-01-15 09:30:00+00:00,184.326,184.352,184.228,184.303,4419,2026-01-20 17:29:43.936771+00:00
2026-01-15 10:00:00+00:00,184.296,184.412,184.222,184.393,3760,2026-01-20 17:29:43.936771+00:00
2026-01-15 10:30:00+00:00,184.395,184.428,184.35,184.383,3577,2026-01-20 17:29:43.936771+00:00
2026-01-15 11:00:00+00:00,184.38,184.407,184.353,184.382,3433,2026-01-20 17:29:43.936771+00:00
2026-01-15 11:30:00+00:00,184.384,184.434,184.376,184.419,3134,2026-01-20 17:29:43.936771+00:00
2026-01-15 12:00:00+00:00,184.422,184.479,184.402,184.413,3209,2026-01-20 17:29:43.936771+00:00
2026-01-15 12:30:00+00:00,184.414,184.447,184.283,184.327,3869,2026-01-20 17:29:43.936771+00:00
2026-01-15 13:00:00+00:00,184.328,184.353,184.223,184.247,5719,2026-01-20 17:29:43.936771+00:00
2026-01-15 13:30:00+00:00,184.24,184.312,184.182,184.255,7900,2026-01-20 17:29:43.936771+00:00
2026-01-15 14:00:00+00:00,184.257,184.3,184.175,184.212,6441,2026-01-20 17:29:43.936771+00:00
2026-01-15 14:30:00+00:00,184.213,184.236,184.106,184.151,6758,2026-01-20 17:29:43.936771+00:00
2026-01-15 15:00:00+00:00,184.15,184.155,183.958,183.959,5952,2026-01-20 17:29:43.936771+00:00
2026-01-15 15:30:00+00:00,183.964,184.057,183.859,183.934,6589,2026-01-20 17:29:43.936771+00:00
2026-01-15 16:00:00+00:00,183.932,183.98,183.88,183.948,5425,2026-01-20 17:29:43.936771+00:00
2026-01-15 16:30:00+00:00,183.947,184.013,183.918,183.927,4430,2026-01-20 17:29:43.936771+00:00
2026-01-15 17:00:00+00:00,183.926,184.01,183.915,184.003,3337,2026-01-20 17:29:43.936771+00:00
2026-01-15 17:30:00+00:00,184.002,184.042,183.956,184.006,2852,2026-01-20 17:29:43.936771+00:00
2026-01-15 18:00:00+00:00,184.005,184.081,184.005,184.034,2768,2026-01-20 17:29:43.936771+00:00
2026-01-15 18:30:00+00:00,184.035,184.085,184.02,184.079,2266,2026-01-20 17:29:43.936771+00:00
2026-01-15 19:00:00+00:00,184.078,184.121,184.059,184.09,2682,2026-01-20 17:29:43.936771+00:00
2026-01-15 19:30:00+00:00,184.091,184.141,184.075,184.103,2817,2026-01-20 17:29:43.936771+00:00
2026-01-15 20:00:00+00:00,184.102,184.125,184.051,184.058,2235,2026-01-20 17:29:43.936771+00:00
2026-01-15 20:30:00+00:00,184.055,184.098,184.005,184.089,2401,2026-01-20 17:29:43.936771+00:00
2026-01-15 21:00:00+00:00,184.088,184.145,184.068,184.115,1458,2026-01-20 17:29:43.936771+00:00
2026-01-15 21:30:00+00:00,184.114,184.176,184.114,184.16,1012,2026-01-20 17:29:43.936771+00:00
2026-01-15 22:00:00+00:00,183.979,184.107,183.876,184.085,439,2026-01-20 17:29:43.936771+00:00
2026-01-15 22:30:00+00:00,184.085,184.101,184.055,184.083,1150,2026-01-20 17:29:43.936771+00:00
2026-01-15 23:00:00+00:00,184.064,184.185,184.047,184.164,1301,2026-01-20 17:29:43.936771+00:00
2026-01-15 23:30:00+00:00,184.165,184.18,184.073,184.101,1527,2026-01-20 17:29:43.936771+00:00
2026-01-16 00:00:00+00:00,184.1,184.111,184.011,184.076,2456,2026-01-20 17:29:43.936771+00:00
2026-01-16 00:30:00+00:00,184.073,184.154,184.0,184.094,3911,2026-01-20 17:29:43.936771+00:00
2026-01-16 01:00:00+00:00,184.091,184.122,183.907,183.952,3661,2026-01-20 17:29:43.936771+00:00
