Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Avg_Daily_Return,Volatility,Key_Point
2025-07-01 00:00:00+00:00,107167.6953125,107373.6171875,107120.9453125,107373.6171875,104685568,0.0,0.0,,,,False
2025-07-01 00:15:00+00:00,107354.9765625,107455.09375,107195.125,107195.125,108777472,0.0,0.0,-0.0016623467866255792,,,False
2025-07-01 00:30:00+00:00,107190.46875,107306.6875,107098.8515625,107301.84375,891305984,0.0,0.0,0.0009955560012639975,,,False
2025-07-01 00:45:00+00:00,107308.3984375,107379.84375,107308.3984375,107375.3515625,877727744,0.0,0.0,0.00068505637863292,,,False
2025-07-01 01:00:00+00:00,107408.3984375,107460.6328125,107388.984375,107460.6328125,893431808,0.0,0.0,0.0007942348849991898,,,False
2025-07-01 01:15:00+00:00,107523.0625,107547.9140625,107444.3828125,107444.3828125,0,0.0,0.0,-0.00015121816775776065,,,False
2025-07-01 01:30:00+00:00,107443.296875,107517.375,107348.4140625,107363.5078125,81391616,0.0,0.0,-0.0007527150129489346,,,False
2025-07-01 01:45:00+00:00,107364.3125,107390.140625,107245.0625,107255.734375,0,0.0,0.0,-0.0010038181473002172,,,False
2025-07-01 02:00:00+00:00,107255.3125,107332.921875,107246.9921875,107291.421875,870191104,0.0,0.0,0.00033273279240453313,,,False
2025-07-01 02:15:00+00:00,107306.7265625,107351.7734375,107271.3359375,107350.4921875,26193920,0.0,0.0,0.0005505595085582016,,,False
2025-07-01 02:30:00+00:00,107354.8046875,107436.859375,107306.78125,107306.78125,1795538944,0.0,0.0,-0.0004071796654984139,,,False
2025-07-01 02:45:00+00:00,107301.6015625,107301.6015625,107140.375,107140.375,7016448,0.0,0.0,-0.001550752413422174,,,False
2025-07-01 03:00:00+00:00,107126.34375,107169.2578125,107115.140625,107143.96875,989507584,0.0,0.0,3.3542443733214355e-05,,,False
2025-07-01 03:15:00+00:00,107131.2109375,107243.796875,107131.2109375,107238.109375,20860928,0.0,0.0,0.0008786367174773435,,,False
2025-07-01 03:30:00+00:00,107237.859375,107245.3203125,107213.7265625,107219.765625,938225664,0.0,0.0,-0.0001710562607538657,,,False
2025-07-01 03:45:00+00:00,107199.7890625,107240.25,107144.625,107240.25,64507904,0.0,0.0,0.0001910503616622261,,,False
2025-07-01 04:00:00+00:00,107230.4609375,107262.1953125,107219.625,107220.6015625,93904896,0.0,0.0,-0.00018321887071315324,,,False
2025-07-01 04:15:00+00:00,107180.9921875,107221.765625,107115.15625,107140.6015625,117235712,0.0,0.0,-0.0007461252672916752,,,False
2025-07-01 04:30:00+00:00,107120.2734375,107147.5625,107106.234375,107106.234375,25411584,0.0,0.0,-0.00032076716948381545,,,False
2025-07-01 04:45:00+00:00,107118.796875,107118.796875,106943.1015625,106943.1015625,1016737792,0.0,0.0,-0.0015230935290735381,,,False
2025-07-01 05:00:00+00:00,106933.6953125,106953.421875,106869.515625,106869.515625,1014775808,0.0,0.0,-0.0006880849388587462,-0.00023495035704981237,0.0008162006292982203,True
2025-07-01 05:15:00+00:00,106848.0,106864.03125,106790.4140625,106790.4140625,34893824,0.0,0.0,-0.0007401695613327153,-0.0001888414957851692,0.0007550793340520607,True
2025-07-01 05:30:00+00:00,106790.5234375,106924.2734375,106786.859375,106843.1015625,91549696,0.0,0.0,0.0004933729348512994,-0.00021395064910580407,0.0007212110035167931,True
2025-07-01 05:45:00+00:00,106853.59375,106981.9296875,106853.59375,106971.1171875,267382784,0.0,0.0,0.001198164627644438,-0.00018829523665522818,0.0007628013756586521,True
2025-07-01 06:00:00+00:00,106972.984375,106972.984375,106830.9375,106837.578125,861470720,0.0,0.0,-0.0012483655963499984,-0.0002904252607226876,0.0007610666243279427,True
2025-07-01 06:15:00+00:00,106826.34375,106867.4375,106800.15625,106827.2109375,48726016,0.0,0.0,-9.703690107865093e-05,-0.00028771619738873213,0.0007616844003530937,False
2025-07-01 06:30:00+00:00,106811.8671875,106838.1640625,106809.75,106838.1640625,0,0.0,0.0,0.0001025312268652101,-0.0002449538853980249,0.0007582041190315725,False
2025-07-01 06:45:00+00:00,106857.7578125,106927.484375,106855.90625,106917.4140625,0,0.0,0.0,0.0007417761311738769,-0.00015767417147432016,0.0007666743776162482,True
2025-07-01 07:00:00+00:00,106925.953125,107046.5390625,106925.953125,106982.4453125,855470080,0.0,0.0,0.0006082381487639843,-0.0001438989036563476,0.0007783359427777477,True
2025-07-01 07:15:00+00:00,106990.6484375,106990.6484375,106683.421875,106837.3046875,1714810880,0.0,0.0,-0.0013566770190758248,-0.00023926073003804893,0.0008051482592764669,True
2025-07-01 07:30:00+00:00,106921.71875,107047.484375,106921.71875,106996.0625,315441152,0.0,0.0,0.0014859773275295307,-0.0001446028803866517,0.0008910684918232614,True
2025-07-01 07:45:00+00:00,106970.0703125,107201.6875,106970.0703125,107179.03125,27701248,0.0,0.0,0.0017100512460446193,1.8437302586687965e-05,0.0009181474907155047,True
