timestamp,symbol,strategy,action,price,quantity,balance,pnl,trade_id,status
2025-09-11 15:30:04.449987,BTCUSDT,Moving Average Crossover,SELL,113895.29,0.08779994326367667,0,0,1,open
2025-09-11 16:15:04.768055,BTCUSDT,Moving Average Crossover,EXIT,114045.02,0.08779994326367667,9986.853714495128,-0.0013146285504871227,1,sl_hit
2025-09-11 16:45:04.060442,BTCUSDT,Moving Average Crossover,BUY,114063.54,0.08755517945958129,0,0,2,open
2025-09-11 17:00:04.875580,BTCUSDT,Moving Average Crossover,EXIT,113923.75,0.08755517945958129,9974.614375958474,-0.0012255449900993218,2,sl_hit
2025-09-11 17:30:04.121855,BTCUSDT,Moving Average Crossover,SELL,113999.99,0.0874966250081116,0,0,3,open
2025-09-11 17:45:04.726884,BTCUSDT,Moving Average Crossover,EXIT,114261.59,0.0874966250081116,9951.725258856353,-0.0022947370433979097,3,sl_hit
2025-09-11 18:45:04.191132,BTCUSDT,Moving Average Crossover,SELL,113489.08,0.08768883542677722,0,0,4,open
2025-09-11 19:15:04.643754,BTCUSDT,Moving Average Crossover,EXIT,113926.89,0.08768883542677722,9913.334209818155,-0.0038577279858114776,4,sl_hit
2025-09-12 14:45:04.832344,BTCUSDT,Moving Average Crossover,SELL,115086.13,0.08613839226167527,0,0,5,open
2025-09-12 20:30:04.983317,BTCUSDT,Moving Average Crossover,EXIT,115260.0,0.08613839226167527,9898.357327555617,-0.001510781533795561,5,sl_hit
2025-09-12 22:15:04.702518,BTCUSDT,Moving Average Crossover,BUY,115354.69,0.08580801810100323,0,0,6,open
2025-09-12 23:00:04.816100,BTCUSDT,Moving Average Crossover,EXIT,115851.65,0.08580801810100323,9941.00048023109,0.004308103987796178,6,tp_hit
2025-09-13 10:15:04.255565,BTCUSDT,Moving Average Crossover,SELL,115804.19,0.08584318477795225,0,0,7,open
