Date,Open,High,Low,Close,Volume,Returns,Avg_Daily_Return,Volatility,Key_Point
2025-10-20 00:00:00+05:30,2985.5,3023.0,2978.5,3015.2,3133039,,,,False
2025-10-21 00:00:00+05:30,3031.1,3031.8,2996.0,3006.7,310644,-0.0028190501459273154,,,False
2025-10-23 00:00:00+05:30,3055.0,3098.0,3036.1,3073.2,5564758,0.022117271427146035,,,False
2025-10-24 00:00:00+05:30,3080.0,3090.0,3058.3,3063.2,2684318,-0.0032539372640895126,,,False
2025-10-27 00:00:00+05:30,3066.5,3094.2,3060.2,3084.9,1946312,0.0070840950639854405,,,False
2025-10-28 00:00:00+05:30,3076.0,3090.2,3040.2,3057.9,3470737,-0.008752309637265365,,,False
2025-10-29 00:00:00+05:30,3057.9,3076.0,3046.1,3057.6,2895420,-9.810654370656646e-05,,,False
2025-10-30 00:00:00+05:30,3049.1,3063.8,3032.8,3035.3,2241536,-0.007293301936158958,,,False
2025-10-31 00:00:00+05:30,3035.0,3067.4,3025.1,3058.0,1868085,0.007478667677000672,,,False
2025-11-03 00:00:00+05:30,3046.9,3058.0,3010.0,3016.8,2194877,-0.013472858077174577,,,False
2025-11-04 00:00:00+05:30,3019.6,3029.3,2976.0,2990.2,2670720,-0.008817289843542908,,,False
2025-11-06 00:00:00+05:30,2990.1,3024.0,2990.0,3010.9,2542721,0.0069226138719820085,,,False
2025-11-07 00:00:00+05:30,3001.0,3004.0,2960.5,2991.8,1830520,-0.006343618187252931,,,False
2025-11-10 00:00:00+05:30,2993.0,3047.9,2992.0,3025.2,1556656,0.011163847850792052,,,False
2025-11-11 00:00:00+05:30,3045.0,3055.7,3018.0,3047.0,2806868,0.007206135131561542,,,False
2025-11-12 00:00:00+05:30,3060.0,3136.4,3057.1,3131.8,4460315,0.027830653101411196,,,False
2025-11-13 00:00:00+05:30,3131.8,3131.9,3102.0,3105.7,1740435,-0.008333865508653338,,,False
2025-11-14 00:00:00+05:30,3090.0,3113.1,3077.3,3106.0,2210794,9.659658048111197e-05,,,False
2025-11-17 00:00:00+05:30,3106.0,3123.5,3086.6,3102.2,2232853,-0.0012234385061172803,,,False
2025-11-18 00:00:00+05:30,3102.0,3105.0,3078.0,3087.1,2548350,-0.004867513377602939,,,False
