id,strategy,action,entry_price,entry_time,quantity,leverage,position_size,atr,take_profit,stop_loss,status,pnl,broker_order_id,stop_loss_order_id,gtt_id,margin_used,effective_leverage,exit_price,exit_time,broker_exit_order_id
1,Moving Average Crossover,SELL,1.15208,2025-11-25 00:30:00+00:00,86799.52781056872,10.0,100000.0,0.00027566919881535397,1.1502881502077003,1.1523556691988153,sl_hit,-0.002951183945559397,,,,10000.0,10.0,1.15242,2025-11-25 01:00:00+00:00,
2,Moving Average Crossover,BUY,1.1532,2025-11-25 11:15:00+00:00,86459.3146075651,10.0,99704.88160544407,0.0004989812560059194,1.1564433781640384,1.152701018743994,sl_hit,-0.004509191814083212,,,,9970.488160544406,10.0,1.15268,2025-11-25 11:45:00+00:00,
3,Moving Average Crossover,SELL,1.15667,2025-11-28 10:15:00+00:00,85811.2453590779,10.0,99255.29316948465,0.0007420875483641671,1.151846430935633,1.1574120875483642,sl_hit,-0.006916406580960099,,,,9925.529316948465,10.0,1.15747,2025-11-28 13:45:00+00:00,
4,Moving Average Crossover,BUY,1.15936,2025-11-30 22:30:00+00:00,85020.01380642087,10.0,98568.8032066121,0.0003515796066662221,1.1616452674433304,1.1590084203933337,tp_hit,0.02104609439690862,,,,9856.88032066121,10.0,1.1618,2025-12-01 08:15:00+00:00,
5,Moving Average Crossover,SELL,1.16465,2025-12-05 13:00:00+00:00,86415.05305756131,10.0,100643.29154348877,0.0005684189059894797,1.1609552771110683,1.1652184189059895,sl_hit,-0.0053234877430993425,,,,10064.329154348878,10.0,1.16527,2025-12-05 14:00:00+00:00,
6,Moving Average Crossover,BUY,1.16542,2025-12-10 17:15:00+00:00,85898.23258098528,10.0,100107.51821453185,0.0006062931720075753,1.1693609056180492,1.1648137068279922,tp_hit,0.038526883012133875,,,,10010.751821453185,10.0,1.16991,2025-12-10 20:00:00+00:00,
7,Moving Average Crossover,SELL,1.17301,2025-12-17 05:00:00+00:00,88630.40285881463,10.0,103964.34885741817,0.00035856912414509773,1.170679300693057,1.173368569124145,tp_hit,0.020886437455776702,,,,10396.434885741817,10.0,1.17056,2025-12-17 07:30:00+00:00,
