,Open,High,Low,Close,Volume,Returns,Avg_Daily_Return,Volatility,Key_Point,fetch_timestamp
2025-09-23 13:15:00+05:30,4207.71,4209.84,4204.14,4205.24,4147.657,-0.0005893928303215556,0.0007344378028898036,0.0026048037391252572,False,2025-09-23 13:15:00+05:30
2025-09-23 13:30:00+05:30,4205.23,4211.58,4194.39,4206.79,5386.0698,0.0003685877619350464,0.0008329789613842953,0.002548422063156735,False,2025-09-23 13:30:00+05:30
2025-09-23 13:45:00+05:30,4206.79,4214.61,4205.8,4210.48,4715.7849,0.0008771533639662099,0.00040131597373870844,0.0015281925062075616,True,2025-09-23 13:45:00+05:30
2025-09-23 14:00:00+05:30,4210.48,4213.89,4204.66,4212.59,3201.0696,0.0005011305124358323,0.00034856397058810606,0.0015042517408799783,False,2025-09-23 14:00:00+05:30
2025-09-23 14:15:00+05:30,4212.59,4212.81,4206.47,4208.87,2346.6876,-0.0008830671866951745,0.0002495511900142633,0.0015174961860474664,True,2025-09-23 14:15:00+05:30
2025-09-23 14:30:00+05:30,4208.86,4229.03,4205.25,4222.56,6291.4601,0.0032526545129691886,0.0005435112047570634,0.0015003779311598042,True,2025-09-23 14:30:00+05:30
2025-09-23 14:45:00+05:30,4222.55,4222.56,4200.4,4204.82,3475.0382,-0.004201242847940767,0.0004908583096445707,0.0016479679480148567,True,2025-09-23 14:45:00+05:30
2025-09-23 15:00:00+05:30,4204.82,4205.24,4195.0,4195.0,3922.7737,-0.0023354150712753263,0.0002534062651632363,0.0016977273610793598,True,2025-09-23 15:00:00+05:30
2025-09-23 15:15:00+05:30,4195.01,4195.79,4185.2,4192.55,3440.5978,-0.0005840286054826782,0.00018694959939049015,0.001703471466277733,True,2025-09-23 15:15:00+05:30
2025-09-23 15:30:00+05:30,4192.54,4195.0,4185.96,4194.26,1713.1547,0.00040786633433120834,0.00014617490637763297,0.0016870386926919954,True,2025-09-23 15:30:00+05:30
2025-09-23 15:45:00+05:30,4194.26,4196.75,4188.0,4191.47,2446.9975,-0.0006651948138646224,7.250513538883396e-05,0.0016887770342234498,True,2025-09-23 15:45:00+05:30
2025-09-23 16:00:00+05:30,4191.47,4194.41,4186.04,4190.87,3212.4241,-0.0001431478693633137,1.1949231344904332e-05,0.0016728419673287499,True,2025-09-23 16:00:00+05:30
2025-09-23 16:15:00+05:30,4190.87,4196.26,4190.86,4193.06,2012.5885,0.0005225645271746959,0.00011731411277119963,0.0016328680458741751,True,2025-09-23 16:15:00+05:30
2025-09-23 16:30:00+05:30,4193.05,4193.06,4178.27,4184.15,2550.4728,-0.002124939781448565,-0.00012901233434193805,0.00157726843610538,True,2025-09-23 16:30:00+05:30
2025-09-23 16:45:00+05:30,4184.14,4191.05,4181.58,4189.24,2022.1413,0.0012164955845272996,-0.00015352602464878683,0.0015508235039687404,True,2025-09-23 16:45:00+05:30
2025-09-23 17:00:00+05:30,4189.23,4195.5,4188.14,4194.5,1294.1203,0.0012555976740411534,-0.00010906978892327723,0.001579002363011794,True,2025-09-23 17:00:00+05:30
2025-09-23 17:15:00+05:30,4194.5,4195.43,4189.81,4192.08,1037.9186,-0.0005769460007152283,-0.00015932649387273567,0.001576996949065857,True,2025-09-23 17:15:00+05:30
